,Unnamed: 0.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,1544,PxKSE8BD1bA_000099_000109,PxKSE8BD1bA,99.0,109.0,train,arrange,inside,A man is arranging flowers inside of a plastic vase.,arrange,indoor
1,33913,zFfjgoPXVrU_000004_000014,zFfjgoPXVrU,4.0,14.0,train,exit,quickly,"A young man descends into a cold pool of water, he exits quickly due to the cold.",exit,quickly
2,44440,1g5LrfyjaEc_000020_000030,1g5LrfyjaEc,20.0,30.0,train,tip,down,"A person folds up a piece of paper, picks up an unopened glass bottle and tips it upside down before holding the paper against the bottle cap.",tilt,downwards
3,83960,_EZnII98jzU_000131_000141,_EZnII98jzU,131.0,141.0,train,place,up,"A person places their hands palms up in a pink bowl labeled  sanitizing solution, turns them palms down, removes their hands from the solution, places them palms together and gives a bow.",put,upwards
4,57645,GNOpBXS2PnE_000000_000010,GNOpBXS2PnE,0.0,10.0,train,apply,carefully,A person carefully applies blue and violet pencil to their lips,spread,carefully
5,18906,-WmjG9gBUTI_000301_000311,-WmjG9gBUTI,301.0,311.0,train,dance,slowly,Five women are shown dancing slowly in a dimly lit room.,dance,slowly
6,4441,2MdSyWlyxXs_000382_000392,2MdSyWlyxXs,382.0,392.0,train,ride,outdoors,A man rides a motorized bicycle outdoors in the snow.,ride,outdoor
7,83232,sJ-xgDg5k08_000430_000440,sJ-xgDg5k08,430.0,440.0,train,tickle,gently,A baby smiles at an unseen man who talks to him and laughs and tickles him gently.,tickle,gently
8,12782,vP1lpAOnw4c_000081_000091,vP1lpAOnw4c,81.0,91.0,train,cut,properly,A man is demonstrating how to properly cut a chicken.,cut,properly
9,3888,zkyy5cC7SL4_000000_000010,zkyy5cC7SL4,0.0,10.0,train,bend,backwards,"A woman dressed in belly-dancing attire is seen dancing to music with a long stick that she drapes over herself and bends over backwards while she balances the stick, before returning upright.",bend,backwards
10,24600,_LpEKcYOebg_000006_000016,_LpEKcYOebg,6.0,16.0,train,fall,halfway,a person is using a rope to jump into the river but falls down halfway,fall,partially
11,24580,8EMK8AoG3h8_000012_000022,8EMK8AoG3h8,12.0,22.0,train,slip,off,A woman standing on the edge of a pool slide slips off hitting her head as she falls into the pool,move,off
12,17393,F6hrp7AGq38_000000_000010,F6hrp7AGq38,0.0,10.0,train,laugh,quietly,A girl in the backseat of a car makes funny faces for the camera while someone off-screen laughs quietly.,laugh,quietly
13,67733,O-d38Fi5MFg_000147_000157,O-d38Fi5MFg,147.0,157.0,train,play,loudly,Tandem skydivers float through the air with hard rock music playing loudly in background.,play,loudly
14,33805,TCUVf1FeR_g_000005_000015,TCUVf1FeR_g,5.0,15.0,train,jump,out,A group of kids out some icy cold water jumping and take off running,jump,out
15,740,wTdO7pISUgs_000049_000059,wTdO7pISUgs,49.0,59.0,train,lean,forward,A man stands behind a podium and talks into a microphone while reading from a paper and looking up intermittently and another man leans forward and talks into another microphone.,tilt,forwards
16,59046,hH0KOsHPsLM_000001_000011,hH0KOsHPsLM,1.0,11.0,train,ride,on,A little girl is learning to ride her bike with the training wheels on.,ride,on
17,52395,YPxTLac91uA_000001_000011,YPxTLac91uA,1.0,11.0,train,shoot,continously,A man continously shoots a lifted firearm in the backyard and looks at fallen metal container.,shoot,continuously
18,18529,aoS_An3ltEI_000010_000020,aoS_An3ltEI,10.0,20.0,train,cut,thoroughly,A person is in a room thoroughly cutting through a skinless pineapple,cut,completely
19,37154,bqw5GN5NvqE_000180_000190,bqw5GN5NvqE,180.0,190.0,train,fall,in,a person riding over the water holding to a balloon fall in.,fall,in
