,id,youtube_id,weak_timestamp,clustered_adverb,clustered_action,task_num,adverb,action,before_action,before_clustered_action,before_id,before_timestamp,after_action,after_clustered_action,after_id,after_timestamp,in_window_actions,in_window_clustered_actions,in_window_ids,in_window_timestamps,clip_id
0,11007,yvE6KYkNx9o,224.345,slowly,mix,118831,slowly,incorporate,fold,fold,305116.0,215.32,change,adjust,305118.0,260.16,['fold'],['fold'],[305116],[215.32],yvE6KYkNx9o_224-345
1,3562,HWc7swko5sc,168.445,quickly,make,108098,quickly,build,,,,,remove,take,370915.0,284.72,[],[],[],[],HWc7swko5sc_168-445
2,1738,5Ko9h5qKdFk,183.06,completely,mix,34967,completely,stir,use,use,372272.0,181.11,stop,stop,372274.0,194.29,"['saute', 'use']","['cook', 'use']","[372271, 372272]","[173.89, 181.11]",5Ko9h5qKdFk_183-06
3,14611,LlvGQFIhHIc,169.95,completely,mix,114508,totally,incorporate,mix,mix,451304.0,164.16,add,add,175288.0,172.1,"['add', 'mix', 'add', 'mix', 'add', 'mix', 'add', 'mix']","['add', 'mix', 'add', 'mix', 'add', 'mix', 'add', 'mix']","[175285, 175286, 175288, 175289, 451303, 451304, 451306, 451307]","[160.92, 164.16, 172.1, 178.74, 160.92, 164.16, 172.1, 178.74]",LlvGQFIhHIc_169-95
4,10541,uhZNh8MYA2s,188.13,completely,mix,41773,completely,combine,add,add,490502.0,188.0,sit,sit,490503.0,196.79,"['add', 'sit']","['add', 'sit']","[490502, 490503]","[188.0, 196.79]",uhZNh8MYA2s_188-13
5,12335,UrzwRYuV1Jc,115.86,slowly,melt,29477,not fast,melt,chill,cool,482078.0,112.5,flip,turn,482080.0,125.31,"['stick', 'chill', 'flip']","['stick', 'cool', 'turn']","[482077, 482078, 482080]","[108.38, 112.5, 125.31]",UrzwRYuV1Jc_115-86
6,2435,192gnyJ7R1s,123.99,completely,mix,81790,completely,blend,mix,mix,338909.0,119.09,transfer,move,338911.0,133.38,"['bring', 'mix', 'transfer']","['carry', 'mix', 'move']","[338908, 338909, 338911]","[118.54, 119.09, 133.38]",192gnyJ7R1s_123-99
7,10240,-bMyMYTZGWk,211.395,completely,cool,96127,completely,chill,,,,,,,,,[],[],[],[],-bMyMYTZGWk_211-395
8,2059,y87oE25nQqo,1839.92,quickly,carry,16136,quickly,bring,close,close,48699.0,1774.83,turn,turn,48701.0,1928.35,[],[],[],[],y87oE25nQqo_1839-92
9,17949,GeJHcl9EKgo,158.89499999999995,completely,cook,105762,fully,cook,wash,wash,349625.0,130.38,add,add,349629.0,161.73,['add'],['add'],[349629],[161.73],GeJHcl9EKgo_158-89499999999995
10,5735,HGezagpjZiA,2670.25,partially,hold,118819,barely,hold,slip,move,446471.0,2667.48,paint,spread,446474.0,2802.04,['slip'],['move'],[446471],[2667.48],HGezagpjZiA_2670-25
11,10546,mRo9sENJwQs,886.115,quickly,cook,41773,fast,cook,turn,turn,487663.0,875.35,make,make,487667.0,893.63,['make'],['make'],[487667],[893.63],mRo9sENJwQs_886-115
12,10164,DiE3JhobuXA,38.49,completely,melt,96127,completely,melt,,,,,,,,,[],[],[],[],DiE3JhobuXA_38-49
13,526,Z5VRDm3oy8M,148.315,completely,cook,97633,completely,cook,add,add,441203.0,142.84,add,add,441206.0,159.16,['add'],['add'],[441203],[142.84],Z5VRDm3oy8M_148-315
14,4059,gVSX6ojrI1A,33.760000000000005,quickly,cook,93376,fast,cook,,,,,add,add,332871.0,39.5,['add'],['add'],[332871],[39.5],gVSX6ojrI1A_33-760000000000005
15,14997,rOAB6lYMYWo,155.385,partially,mix,75501,barely,stir,thicken,cook,24505.0,134.28,add,add,24508.0,208.39,[],[],[],[],rOAB6lYMYWo_155-385
16,11,8M0qn87D7DM,109.48,completely,set,53204,fully,set,pour,pour,193488.0,102.65,thicken,cook,193490.0,116.97,"['add', 'pour', 'thicken']","['add', 'pour', 'cook']","[193487, 193488, 193490]","[100.33, 102.65, 116.97]",8M0qn87D7DM_109-48
17,5812,1B9at5xAMAI,1181.48,quickly,separate,83956,fast,break,start,start,496413.0,1076.11,hit,hit,496424.0,1199.14,[],[],[],[],1B9at5xAMAI_1181-48
18,2646,7tdEvn57zQ0,132.54500000000002,quickly,mix,81790,quickly,whisk,use,use,335326.0,127.17,cook,cook,335328.0,134.95,"['pour', 'use', 'cook']","['pour', 'use', 'cook']","[335325, 335326, 335328]","[123.24, 127.17, 134.95]",7tdEvn57zQ0_132-54500000000002
19,1518,tK19K6aFIMM,68.045,completely,wash,16323,thoroughly,rinse,measure,measure,471040.0,59.13,remove,take,471043.0,71.87,"['measure', 'remove']","['measure', 'take']","[471040, 471043]","[59.13, 71.87]",tK19K6aFIMM_68-045
20,15108,JcHbcM5Uh8U,57.33,completely,cook,14133,fully,cook,break,separate,129745.0,57.25,cool,cool,129746.0,64.53,"['stuff', 'start', 'brown', 'break', 'cool']","['fill', 'start', 'cook', 'separate', 'cool']","[129740, 129741, 129742, 129745, 129746]","[48.16, 48.72, 49.94, 57.25, 64.53]",JcHbcM5Uh8U_57-33
21,11432,NJw3t2Vmth0,368.645,quickly,cook,105209,fast,cook,fill,fill,199368.0,356.32,warm,cook,199370.0,372.9,['warm'],['cook'],[199370],[372.9],NJw3t2Vmth0_368-645
22,12599,eICwTvgu_qI,311.91,quickly,carry,118421,quickly,bring,add,add,57919.0,303.56,add,add,57921.0,316.87,"['add', 'add']","['add', 'add']","[57919, 57921]","[303.56, 316.87]",eICwTvgu_qI_311-91
23,10318,-K7KUmjdvEE,145.595,slowly,pour,96127,slowly,pour,,,,,,,,,[],[],[],[],-K7KUmjdvEE_145-595
24,13788,AgkG78jYfiI,108.77,completely,open,41718,fully,open,close,close,599364.0,105.28,adjust,adjust,599367.0,112.14,"['close', 'use', 'adjust']","['close', 'use', 'adjust']","[599364, 599366, 599367]","[105.28, 112.94, 112.14]",AgkG78jYfiI_108-77
25,7812,EixpnQRC2hw,153.505,slowly,pour,34938,slowly,pour,break,separate,525002.0,151.13,hit,hit,525004.0,156.49,"['secure', 'flip', 'break', 'hit']","['secure', 'turn', 'separate', 'hit']","[525000, 525001, 525002, 525004]","[146.92, 150.07, 151.13, 156.49]",EixpnQRC2hw_153-505
26,14808,FafvgEe3_wg,77.75999999999998,slowly,mix,75501,slowly,beat,add,add,27030.0,46.21,add,add,27033.0,80.09,['add'],['add'],[27033],[80.09],FafvgEe3_wg_77-75999999999998
27,7129,evgsvn0u7HM,298.94,quickly,open,89899,quickly,open,fit,fill,219940.0,270.55,fit,fill,219942.0,321.44,[],[],[],[],evgsvn0u7HM_298-94
28,3700,6-FBfvt6VIU,413.635,quickly,cook,110266,quickly,heat,hang,mount,315562.0,382.2,,,,,[],[],[],[],6-FBfvt6VIU_413-635
29,701,bT4DHv76CN4,291.635,completely,mix,97633,completely,mix,add,add,444669.0,281.13,pour,pour,444671.0,298.51,['pour'],['pour'],[444671],[298.51],bT4DHv76CN4_291-635
30,14818,6Xtj7bhKOow,174.985,slowly,add,75501,slowly,add,use,use,24353.0,148.88,pour,pour,24355.0,177.29,['pour'],['pour'],[24355],[177.29],6Xtj7bhKOow_174-985
31,12723,LijmixNtv9A,88.825,completely,mix,118421,thoroughly,stir,add,add,64897.0,51.38,mix,mix,64899.0,102.87,[],[],[],[],LijmixNtv9A_88-825
32,2048,LbgEa5hdBoM,526.375,completely,cool,16136,completely,cool,simmer,cook,54346.0,521.48,add,add,54348.0,527.29,"['add', 'simmer', 'add', 'start', 'add']","['add', 'cook', 'add', 'start', 'add']","[54345, 54346, 54348, 54349, 54350]","[517.23, 521.48, 527.29, 534.2, 535.7]",LbgEa5hdBoM_526-375
33,12329,HZ0UUO4bJag,265.745,slowly,add,29477,slowly,add,chill,cool,479209.0,264.15,start,start,479210.0,265.84,"['burn', 'chill', 'start', 'start', 'absorb']","['burn', 'cool', 'start', 'start', 'absorb']","[479208, 479209, 479210, 479212, 479213]","[259.35, 264.15, 265.84, 269.49, 270.3]",HZ0UUO4bJag_265-745
34,15292,EXWaJDIbBSo,306.885,finely,grind,14133,finely,grind,crush,press,123063.0,293.92,add,add,123066.0,316.28,['add'],['add'],[123066],[316.28],EXWaJDIbBSo_306-885
35,1572,hYdOMfp7QH8,78.06,quickly,cook,16323,rapidly,boil,bring,carry,468894.0,70.93,cook,cook,468896.0,83.71,"['bring', 'cook']","['carry', 'cook']","[468894, 468896]","[70.93, 83.71]",hYdOMfp7QH8_78-06
36,9335,5T-paTE1xgk,254.01,completely,cool,96366,completely,cool,coat,dip,136496.0,244.32,add,add,136500.0,257.17,"['coat', 'take', 'add', 'add']","['dip', 'take', 'add', 'add']","[136496, 136497, 136500, 136501]","[244.32, 244.05, 257.17, 260.19]",5T-paTE1xgk_254-01
37,15917,-X39mXK9g_I,1036.125,quickly,raise,91518,quickly,rise,feed,feed,149848.0,1017.24,stir,mix,149850.0,1052.18,[],[],[],[],-X39mXK9g_I_1036-125
38,7589,ArX0FKnsU9M,44.545,partially,fill,118779,halfway,fill,make,make,286483.0,40.36,place,put,286485.0,57.18,"['cut', 'make']","['cut', 'make']","[286482, 286483]","[34.95, 40.36]",ArX0FKnsU9M_44-545
39,605,QipOayWV4yw,177.87,completely,cook,97633,completely,cook,add,add,442748.0,168.68,absorb,absorb,442751.0,179.31,"['add', 'absorb', 'cover']","['add', 'absorb', 'cover']","[442748, 442751, 442752]","[168.68, 179.31, 183.81]",QipOayWV4yw_177-87
40,10806,0e6HPbfCq4k,296.225,completely,mix,118831,completely,blend,stir,mix,303209.0,285.98,prepare,make,303211.0,301.24,['prepare'],['make'],[303211],[301.24],0e6HPbfCq4k_296-225
41,838,VVm8Bmf__yM,82.89,slowly,mix,118780,slowly,blend,apply,spread,74877.0,81.82,make,make,74879.0,154.58,"['apply', 'use', 'apply']","['spread', 'use', 'spread']","[74875, 74876, 74877]","[73.9, 77.77, 81.82]",VVm8Bmf__yM_82-89
42,9099,eIQq68U3Zvg,202.6,partially,cook,103832,briefly,toast,cut,cut,548268.0,197.45,bring,carry,548270.0,203.93,"['cut', 'bring', 'pull']","['cut', 'carry', 'pull']","[548268, 548270, 548271]","[197.45, 203.93, 210.84]",eIQq68U3Zvg_202-6
43,10296,mJB0KExBPEE,157.26,completely,set,96127,completely,set,place,put,181620.0,127.78,line,arrange,181622.0,161.5,"['line', 'brush']","['arrange', 'spread']","[181622, 181623]","[161.5, 167.05]",mJB0KExBPEE_157-26
44,13137,tzGbwr0jCXk,51.51000000000001,completely,dry,91586,completely,dry,cook,cook,169389.0,48.65,turn,turn,169391.0,57.47,"['saute', 'add', 'cook', 'turn', 'cool']","['cook', 'add', 'cook', 'turn', 'cool']","[169387, 169388, 169389, 169391, 169392]","[41.99, 45.45, 48.65, 57.47, 59.95]",tzGbwr0jCXk_51-51000000000001
45,12393,oneegjUjUAg,73.38999999999999,finely,cut,29477,finely,chop,peel,peel,480145.0,69.97,soften,cook,480147.0,78.34,"['peel', 'soften', 'add', 'mince']","['peel', 'cook', 'add', 'cut']","[480145, 480147, 480148, 480149]","[69.97, 78.34, 78.68, 79.01]",oneegjUjUAg_73-38999999999999
46,9182,OBXZL4dPr5M,537.415,completely,cover,96366,completely,cover,grate,grate,137043.0,530.59,grate,grate,137045.0,539.44,"['grate', 'grate', 'stir']","['grate', 'grate', 'mix']","[137043, 137045, 137046]","[530.59, 539.44, 539.84]",OBXZL4dPr5M_537-415
47,8405,SHGhzeYqHKc,360.005,quickly,cook,93400,quickly,blanch,add,add,266193.0,355.96,seal,close,266195.0,364.13,"['add', 'seal', 'add']","['add', 'close', 'add']","[266193, 266195, 266196]","[355.96, 364.13, 364.69]",SHGhzeYqHKc_360-005
48,12258,cbBWHigMaNQ,41.265,partially,cook,29477,slightly,caramelize,combine,mix,482129.0,22.99,melt,melt,482131.0,49.45,['melt'],['melt'],[482131],[49.45],cbBWHigMaNQ_41-265
49,6009,9YbmbWhQb7E,39.8,quickly,shake,40566,vigorously,shake,take,take,86015.0,31.53,fit,fill,86017.0,60.93,['take'],['take'],[86015],[31.53],9YbmbWhQb7E_39-8
50,10431,8fraEQrNFSU,393.84,slowly,add,41773,slowly,add,start,start,486579.0,391.62,stir,mix,486582.0,394.23,"['start', 'thicken', 'stir', 'adjust']","['start', 'cook', 'mix', 'adjust']","[486579, 486580, 486582, 486583]","[391.62, 390.4, 394.23, 400.47]",8fraEQrNFSU_393-84
51,12429,FCcGpk-ctZA,336.095,partially,cook,29477,slightly,brown,sear,cook,475871.0,317.72,,,,,[],[],[],[],FCcGpk-ctZA_336-095
52,15104,T0f66GCAnFc,233.065,quickly,cook,14133,fast,cook,stuff,fill,122880.0,225.93,burn,burn,122882.0,235.87,"['stuff', 'burn']","['fill', 'burn']","[122880, 122882]","[225.93, 235.87]",T0f66GCAnFc_233-065
53,13474,XpZ3dG-iZxA,37.985,completely,cover,67160,completely,cover,make,make,591573.0,24.92,line,arrange,591575.0,44.19,"['line', 'line']","['arrange', 'arrange']","[591575, 591576]","[44.19, 46.54]",XpZ3dG-iZxA_37-985
54,17039,rnxQhMQsl34,25.145,partially,cook,85159,half,cook,,,,,brush,spread,75280.0,68.91,[],[],[],[],rnxQhMQsl34_25-145
55,507,Auls99IZdiQ,40.545,finely,cut,97633,finely,chop,slice,cut,439630.0,39.12,coat,dip,439632.0,46.97,"['use', 'add', 'add', 'slice', 'coat', 'cook']","['use', 'add', 'add', 'cut', 'dip', 'cook']","[439627, 439628, 439629, 439630, 439632, 439633]","[31.2, 36.19, 36.96, 39.12, 46.97, 48.55]",Auls99IZdiQ_40-545
56,16857,qCFRICHLAno,855.755,partially,open,85159,slightly,open,pop,put,79560.0,854.17,attach,attach,79561.0,861.73,"['pop', 'attach', 'fit']","['put', 'attach', 'fill']","[79560, 79561, 79562]","[854.17, 861.73, 863.74]",qCFRICHLAno_855-755
57,9045,oUBSPIDoOds,73.95,finely,cut,103832,finely,chop,peel,peel,546666.0,70.92,add,add,546668.0,82.27,"['peel', 'add']","['peel', 'add']","[546666, 546668]","[70.92, 82.27]",oUBSPIDoOds_73-95
58,2251,VuT5-UNqYag,272.73,slowly,mix,16136,slowly,mix,pour,pour,48407.0,270.08,spread,spread,48409.0,298.16,"['use', 'pour']","['use', 'pour']","[48406, 48407]","[267.18, 270.08]",VuT5-UNqYag_272-73
59,16810,pYFkrBR-G7c,101.98,slowly,raise,85159,slowly,lift,peel,peel,77347.0,101.06,fill,fill,77350.0,117.44,"['add', 'pop', 'stick', 'peel', 'deflate']","['add', 'put', 'stick', 'peel', 'press']","[77344, 77345, 77346, 77347, 77348]","[94.56, 97.31, 98.59, 101.06, 100.22]",pYFkrBR-G7c_101-98
60,12991,GAdob1t4Nyk,45.165,finely,cut,91586,finely,chop,add,add,168058.0,44.27,boil,cook,168059.0,48.26,"['cut', 'dice', 'add', 'boil', 'saute', 'brown']","['cut', 'cut', 'add', 'cook', 'cook', 'cook']","[168056, 168057, 168058, 168059, 168060, 168061]","[39.6, 41.98, 44.27, 48.26, 50.23, 53.61]",GAdob1t4Nyk_45-165
61,14718,xpNnCB4Mvk4,174.20999999999995,finely,cut,114508,thinly,trim,spray,spray,455234.0,169.7,stack,stack,455237.0,184.75,"['flip', 'spray']","['turn', 'spray']","[455233, 455234]","[168.56, 169.7]",xpNnCB4Mvk4_174-20999999999995
62,1619,_fCxMdKhIgE,53.87000000000001,partially,mix,42901,not fully,mix,cook,cook,391407.0,46.87,add,add,391409.0,64.69,"['add', 'cook']","['add', 'cook']","[391406, 391407]","[44.36, 46.87]",_fCxMdKhIgE_53-87000000000001
63,6089,fs2ueysl_DA,24.605,finely,cut,106686,finely,chop,,,,,whisk,mix,575538.0,48.65,[],[],[],[],fs2ueysl_DA_24-605
64,13378,iUArIF7gmo8,59.005,finely,cut,67160,finely,chop,toss,turn,589459.0,50.51,toss,turn,589462.0,67.98,"['toss', 'toss']","['turn', 'turn']","[589459, 589462]","[50.51, 67.98]",iUArIF7gmo8_59-005
65,671,c62iLi7rJQU,623.2049999999998,finely,cut,97633,finely,chop,cool,cool,438884.0,605.24,fry,cook,438886.0,662.5,[],[],[],[],c62iLi7rJQU_623-2049999999998
66,12311,Tk_FqWEZiws,114.855,quickly,cook,29477,quick,sear,use,use,481402.0,107.85,cut,cut,481404.0,126.23,"['take', 'use']","['take', 'use']","[481401, 481402]","[106.38, 107.85]",Tk_FqWEZiws_114-855
67,12538,mCbTfR2tD1A,289.44000000000005,partially,put,118421,briefly,lay,stir,mix,61061.0,285.77,boil,cook,61063.0,292.13,"['grab', 'stir', 'boil', 'sit']","['take', 'mix', 'cook', 'sit']","[61060, 61061, 61063, 61064]","[281.37, 285.77, 292.13, 297.32]",mCbTfR2tD1A_289-44000000000005
68,16189,4bD_m9iSC4M,80.335,quickly,adjust,41950,fast,change,hold,hold,71382.0,76.5,hold,hold,71384.0,126.81,['hold'],['hold'],[71382],[76.5],4bD_m9iSC4M_80-335
69,15763,0AO6_IFJDqw,147.635,partially,cook,44043,slightly,soften,take,take,112201.0,143.27,use,use,112202.0,148.41,"['add', 'take', 'use', 'mix', 'mix']","['add', 'take', 'use', 'mix', 'mix']","[112200, 112201, 112202, 112204, 112205]","[139.33, 143.27, 148.41, 150.77, 157.3]",0AO6_IFJDqw_147-635
70,1552,LVPrhxZXHOg,24.535,quickly,mix,16323,quickly,mix,add,add,474138.0,18.12,add,add,474140.0,25.03,"['add', 'add', 'add']","['add', 'add', 'add']","[474137, 474138, 474140]","[16.08, 18.12, 25.03]",LVPrhxZXHOg_24-535
71,1080,Ck8TEwAtlbE,346.51,finely,grind,105259,finely,grind,use,use,17537.0,340.69,use,use,17539.0,374.55,"['turn', 'use']","['turn', 'use']","[17536, 17537]","[337.2, 340.69]",Ck8TEwAtlbE_346-51
72,17972,SW-wE0D-9Uo,257.265,partially,cook,105762,slightly,reduce,add,add,351290.0,249.21,cook,cook,351292.0,261.38,"['add', 'cook']","['add', 'cook']","[351290, 351292]","[249.21, 261.38]",SW-wE0D-9Uo_257-265
73,14899,MIG2Z33JerM,145.79500000000004,slowly,cool,75501,slowly,cool,turn,turn,23942.0,142.52,mix,mix,23945.0,150.86,"['open', 'turn', 'mix', 'place']","['open', 'turn', 'mix', 'put']","[23941, 23942, 23945, 23946]","[142.4, 142.52, 150.86, 155.37]",MIG2Z33JerM_145-79500000000004
74,9224,9egTDmCEcz4,46.005,completely,dry,96366,completely,dry,wash,wash,136532.0,42.62,wash,wash,136535.0,48.51,"['remove', 'wash', 'clean', 'wash', 'remove']","['take', 'wash', 'wash', 'wash', 'take']","[136531, 136532, 136533, 136535, 136537]","[37.32, 42.62, 42.46, 48.51, 53.57]",9egTDmCEcz4_46-005
75,2597,rEh2GPADN3w,241.345,partially,cook,81790,slightly,thicken,strain,drain,334548.0,231.44,strain,drain,334550.0,246.17,"['strain', 'strain']","['drain', 'drain']","[334548, 334550]","[231.44, 246.17]",rEh2GPADN3w_241-345
76,6352,CGifc8hyw6U,40.05,finely,cut,106686,finely,chop,press,press,579552.0,22.33,start,start,579554.0,69.38,[],[],[],[],CGifc8hyw6U_40-05
77,17904,scPw3gtVI9U,167.175,finely,cut,105762,finely,slice,fold,fold,348646.0,163.28,cook,cook,348648.0,208.55,"['peel', 'fold']","['peel', 'fold']","[348645, 348646]","[158.95, 163.28]",scPw3gtVI9U_167-175
78,14959,ZK7OVJajYBU,238.485,quickly,cook,75501,quickly,cook,grill,cook,24162.0,230.17,flip,turn,24166.0,257.11,"['grill', 'grill']","['cook', 'cook']","[24161, 24162]","[228.72, 230.17]",ZK7OVJajYBU_238-485
