,id,youtube_id,weak_timestamp,clustered_adverb,clustered_action,task_num,adverb,action,before_action,before_clustered_action,before_id,before_timestamp,after_action,after_clustered_action,after_id,after_timestamp,in_window_actions,in_window_clustered_actions,in_window_ids,in_window_timestamps,clip_id
0,12958,tjoC36jDIts,299.045,completely,use,76407,totally,use,carve,cut,284275.0,285.79,separate,separate,284278.0,320.2,[],[],[],[],tjoC36jDIts_299-045
1,6079,MCpCkun2qxA,661.96,partially,make,40566,half,assemble,install,install,86654.0,597.82,raise,raise,86656.0,675.1,[],[],[],[],MCpCkun2qxA_661-96
2,16452,52B7TqldlNs,57.285,quickly,cook,57396,fast,cook,add,add,93497.0,47.21,use,use,93499.0,67.89,[],[],[],[],52B7TqldlNs_57-285
3,9056,p_zQ0hep34w,155.965,quickly,turn,103832,quickly,turn,simmer,cook,550263.0,144.24,add,add,550265.0,163.56,['add'],['add'],[550265],[163.56],p_zQ0hep34w_155-965
4,7650,EQ5Lv2m2IZU,55.48,partially,fill,118779,partially,fill,lock,close,284754.0,41.31,use,use,284756.0,70.03,[],[],[],[],EQ5Lv2m2IZU_55-48
5,6632,AKfMjeTDyoE,1007.55,finely,cut,20898,finely,chop,fill,fill,353518.0,895.62,place,put,353522.0,1031.75,[],[],[],[],AKfMjeTDyoE_1007-55
6,304,mQ75-ALLb9c,30.505,finely,cut,50348,finely,chop,grate,grate,306385.0,24.36,add,add,306388.0,55.18,['grate'],['grate'],[306385],[24.36],mQ75-ALLb9c_30-505
7,8403,SHGhzeYqHKc,278.22,completely,cook,93400,completely,cook,bring,carry,266175.0,271.43,mix,mix,266178.0,280.59,"['bring', 'mix', 'dice', 'add']","['carry', 'mix', 'cut', 'add']","[266175, 266178, 266179, 266180]","[271.43, 280.59, 286.69, 287.03]",SHGhzeYqHKc_278-22
8,17846,e3BOSneiyLc,46.16,finely,cut,105762,finely,chop,peel,peel,351141.0,35.8,shred,cut,351144.0,62.96,[],[],[],[],e3BOSneiyLc_46-16
9,4176,OyFM8ExWCZs,269.255,completely,dip,93376,completely,submerge,start,start,329101.0,259.25,absorb,absorb,329103.0,276.64,"['absorb', 'start']","['absorb', 'start']","[329103, 329104]","[276.64, 279.07]",OyFM8ExWCZs_269-255
10,1737,5Ko9h5qKdFk,169.05,completely,add,34967,completely,add,marinate,soak,372265.0,141.96,saute,cook,372271.0,173.89,['saute'],['cook'],[372271],[173.89],5Ko9h5qKdFk_169-05
11,16075,wyq7I3nnDpA,63.93000000000001,partially,stick,91518,not fully,stick,add,add,149341.0,57.16,add,add,149343.0,68.07,"['hold', 'add', 'add', 'add', 'shape']","['hold', 'add', 'add', 'add', 'make']","[149340, 149341, 149343, 149344, 149345]","[56.05, 57.16, 68.07, 70.3, 72.4]",wyq7I3nnDpA_63-93000000000001
12,13584,q6vKpoAQQC0,132.14,partially,cool,76412,slightly,cool,remove,take,409668.0,130.34,use,use,409670.0,164.03,"['bake', 'remove']","['cook', 'take']","[409667, 409668]","[123.39, 130.34]",q6vKpoAQQC0_132-14
13,15142,gTAKzEQ7V8c,50.845,quickly,burn,14133,quickly,burn,set,set,128530.0,47.83,boil,cook,128532.0,57.95,"['toss', 'set', 'boil']","['turn', 'set', 'cook']","[128529, 128530, 128532]","[44.44, 47.83, 57.95]",gTAKzEQ7V8c_50-845
14,57,GaSC0SbsCmE,36.705,finely,cut,20880,finely,chop,add,add,43334.0,28.11,add,add,43335.0,39.22,"['add', 'add', 'add', 'mix']","['add', 'add', 'add', 'mix']","[43334, 43335, 43337, 43338]","[28.11, 39.22, 43.36, 45.73]",GaSC0SbsCmE_36-705
15,10485,1PNN16aOxjg,142.95499999999996,slowly,cook,41773,slowly,cook,bring,carry,484149.0,130.11,sear,cook,484151.0,144.27,['sear'],['cook'],[484151],[144.27],1PNN16aOxjg_142-95499999999996
16,2087,2NzlVUoJ_P0,157.865,finely,cut,16136,finely,chop,add,add,55532.0,155.05,add,add,55535.0,178.06,['add'],['add'],[55532],[155.05],2NzlVUoJ_P0_157-865
17,9393,Sv9v1d6UUIM,171.495,partially,press,96366,half,crush,use,use,133377.0,170.68,remove,take,133379.0,177.47,"['use', 'remove', 'strain']","['use', 'take', 'drain']","[133377, 133379, 133380]","[170.68, 177.47, 178.75]",Sv9v1d6UUIM_171-495
18,1099,8tKSIkgT0QQ,906.125,completely,cover,105259,completely,cover,pour,pour,16924.0,891.18,add,add,16927.0,910.93,['add'],['add'],[16927],[910.93],8tKSIkgT0QQ_906-125
19,4214,s3qCAGhtZO8,270.105,finely,cut,93376,finely,chop,fry,cook,331128.0,268.0,bring,carry,331130.0,280.91,['fry'],['cook'],[331128],[268.0],s3qCAGhtZO8_270-105
20,13445,9oQHRvbuvL0,140.14999999999998,quickly,cook,67160,quickly,cook,cut,cut,587184.0,137.23,steam,cook,587186.0,143.34,"['cut', 'steam']","['cut', 'cook']","[587184, 587186]","[137.23, 143.34]",9oQHRvbuvL0_140-14999999999998
21,13025,X3LnQoU9fQc,201.655,completely,separate,91586,totally,break,turn,turn,174221.0,199.63,mash,press,174223.0,204.45,"['turn', 'turn', 'mash']","['turn', 'turn', 'press']","[174220, 174221, 174223]","[196.5, 199.63, 204.45]",X3LnQoU9fQc_201-655
22,11250,u-BZDlGVxPE,272.91,partially,cook,105209,partially,cook,stir,mix,197432.0,256.11,add,add,197436.0,274.32,"['add', 'mince']","['add', 'cut']","[197436, 197437]","[274.32, 274.65]",u-BZDlGVxPE_272-91
23,5230,91DAznuHBj8,456.625,slowly,hit,101028,slowly,tap,bend,bend,101758.0,454.76,scrape,scrape,101760.0,462.04,"['bend', 'scrape']","['bend', 'scrape']","[101758, 101760]","[454.76, 462.04]",91DAznuHBj8_456-625
24,13126,SJUkf5O2fvU,312.75,completely,mix,91586,fully,incorporate,mix,mix,168105.0,307.69,use,use,168107.0,315.57,"['mix', 'use']","['mix', 'use']","[168105, 168107]","[307.69, 315.57]",SJUkf5O2fvU_312-75
25,9541,dagYvZo44lo,48.665,completely,cook,91537,thoroughly,cook,,,,,,,,,[],[],[],[],dagYvZo44lo_48-665
26,14812,T2i5AmJrji0,272.745,completely,fall,75501,completely,fall,beat,mix,27409.0,268.3,stop,stop,27410.0,273.06,"['whip', 'beat', 'stop', 'beat']","['mix', 'mix', 'stop', 'mix']","[27408, 27409, 27410, 27412]","[264.52, 268.3, 273.06, 276.95]",T2i5AmJrji0_272-745
27,17993,E2kvPK2uenQ,218.795,quickly,cook,105762,quickly,fry,absorb,absorb,348257.0,209.81,cook,cook,348259.0,219.54,"['absorb', 'cook', 'absorb']","['absorb', 'cook', 'absorb']","[348257, 348259, 348260]","[209.81, 219.54, 220.98]",E2kvPK2uenQ_218-795
28,10546,mRo9sENJwQs,886.115,quickly,cook,41773,fast,cook,turn,turn,487663.0,875.35,make,make,487667.0,893.63,['make'],['make'],[487667],[893.63],mRo9sENJwQs_886-115
29,14398,gSjjIL7FSiY,500.485,completely,cover,114508,completely,cover,fill,fill,460009.0,467.34,use,use,460013.0,589.0,[],[],[],[],gSjjIL7FSiY_500-485
30,5697,63oa5pr6IMI,166.935,quickly,shake,118819,vigorously,shake,add,add,449959.0,165.11,add,add,449962.0,176.51,"['add', 'open', 'add']","['add', 'open', 'add']","[449959, 449961, 449962]","[165.11, 176.55, 176.51]",63oa5pr6IMI_166-935
31,10925,jSyR4mlYCNc,116.395,completely,mix,118831,completely,dissolve,stir,mix,300006.0,114.39,add,add,300008.0,118.05,"['soak', 'absorb', 'stir', 'add']","['soak', 'absorb', 'mix', 'add']","[300004, 300005, 300006, 300008]","[110.31, 111.93, 114.39, 118.05]",jSyR4mlYCNc_116-395
32,2894,n1lqYPyoKXU,129.245,slowly,add,26618,slowly,add,measure,measure,554969.0,121.74,start,start,554971.0,164.14,['measure'],['measure'],[554969],[121.74],n1lqYPyoKXU_129-245
33,9408,205WwzHRLrk,82.47,completely,raise,96366,totally,raise,use,use,130827.0,75.58,add,add,130829.0,103.62,['use'],['use'],[130827],[75.58],205WwzHRLrk_82-47
34,4555,usyYiHN7Dwc,434.365,completely,make,40596,fully,assemble,fit,fill,240603.0,432.36,install,install,240605.0,435.68,"['install', 'fit', 'install']","['install', 'fill', 'install']","[240602, 240603, 240605]","[428.88, 432.36, 435.68]",usyYiHN7Dwc_434-365
35,8872,Liqlw7RSC20,314.065,slowly,take,1373,slowly,grab,cook,cook,20218.0,281.37,melt,melt,20220.0,343.03,[],[],[],[],Liqlw7RSC20_314-065
36,11012,n6BZcSR3t5Q,153.655,completely,cool,118831,completely,cool,whisk,mix,298223.0,140.34,whip,mix,298225.0,161.79,['whip'],['mix'],[298225],[161.79],n6BZcSR3t5Q_153-655
37,53,7nrKEhC0rLM,358.675,slowly,pour,53204,slowly,pour,stir,mix,192791.0,328.69,strain,drain,192793.0,370.56,[],[],[],[],7nrKEhC0rLM_358-675
38,2321,tsTWYytwhic,76.39,partially,mix,16136,slightly,blend,bake,cook,54692.0,68.93,stick,stick,54694.0,79.56,"['bake', 'stick']","['cook', 'stick']","[54692, 54694]","[68.93, 79.56]",tsTWYytwhic_76-39
39,15909,Ywvo2TSTh9w,65.175,completely,mix,91518,thoroughly,stir,add,add,151553.0,59.12,knead,knead,151555.0,82.3,['add'],['add'],[151553],[59.12],Ywvo2TSTh9w_65-175
40,15228,k97oh_Li_JM,242.515,coarsely,grind,14133,coarsely,grind,use,use,126150.0,224.73,mix,mix,126152.0,290.33,[],[],[],[],k97oh_Li_JM_242-515
41,13417,i-Pb5tFwlbg,114.22,quickly,cool,67160,rapidly,cool,turn,turn,587782.0,109.21,pop,put,587784.0,119.37,"['cook', 'turn', 'pop']","['cook', 'turn', 'put']","[587781, 587782, 587784]","[107.12, 109.21, 119.37]",i-Pb5tFwlbg_114-22
42,13765,i0DWi5geBBY,137.985,partially,close,41718,halfway,shut,close,close,600243.0,131.09,pull,pull,600245.0,148.18,['close'],['close'],[600243],[131.09],i0DWi5geBBY_137-985
43,14172,fp0vZpmybzQ,96.16,slowly,add,114508,slowly,add,heat,cook,450926.0,88.49,heat,cook,450928.0,96.19,"['heat', 'heat']","['cook', 'cook']","[450926, 450928]","[88.49, 96.19]",fp0vZpmybzQ_96-16
44,15128,1OP7v17o7wQ,352.12,quickly,cook,14133,fast,cook,burn,burn,117814.0,344.8,fall,fall,117817.0,360.87,"['burn', 'fall']","['burn', 'fall']","[117814, 117817]","[344.8, 360.87]",1OP7v17o7wQ_352-12
45,7849,v2l-QRrp2hA,25.555,finely,grind,34938,finely,grind,,,,,fit,fill,527218.0,66.89,[],[],[],[],v2l-QRrp2hA_25-555
46,13242,7QqElWVL1_M,597.35,completely,twist,40610,completely,tighten,turn,turn,145033.0,590.63,screw,twist,145035.0,607.83,['turn'],['turn'],[145033],[590.63],7QqElWVL1_M_597-35
47,1608,TJ7_Bfo-Jto,134.845,slowly,add,42901,slowly,add,pour,pour,395248.0,92.6,pour,pour,395250.0,163.89,[],[],[],[],TJ7_Bfo-Jto_134-845
48,13506,LINzYEXFCsc,400.115,slowly,mix,76412,slowly,mix,sit,sit,407151.0,393.86,stick,stick,407153.0,428.3,['sit'],['sit'],[407151],[393.86],LINzYEXFCsc_400-115
49,9129,wPd0XGH889c,49.01,coarsely,cut,103832,not finely,chop,warm,cook,542500.0,33.79,add,add,542503.0,53.65,['add'],['add'],[542503],[53.65],wPd0XGH889c_49-01
50,14577,8wFcEcOe8UE,81.095,completely,mix,114508,completely,combine,whisk,mix,461809.0,79.71,stir,mix,461811.0,87.17,"['add', 'whisk', 'stir', 'boil', 'whisk']","['add', 'mix', 'mix', 'cook', 'mix']","[461808, 461809, 461811, 461812, 461813]","[78.48, 79.71, 87.17, 89.45, 90.31]",8wFcEcOe8UE_81-095
51,14133,i9GnP5S2mms,17.64,finely,cut,72954,finely,dice,chop,cut,429212.0,14.76,cut,cut,429214.0,22.38,"['chop', 'cut']","['cut', 'cut']","[429212, 429214]","[14.76, 22.38]",i9GnP5S2mms_17-64
52,15695,D7sj7L1uLiw,265.385,completely,adjust,23524,completely,change,drag,pull,91359.0,242.95,smash,press,91361.0,267.52,['smash'],['press'],[91361],[267.52],D7sj7L1uLiw_265-385
53,13280,g9DU2sgW6Gw,310.8400000000001,finely,fill,40610,fine,fit,remove,take,144925.0,290.11,lock,close,144927.0,314.93,"['lock', 'tap']","['close', 'hit']","[144927, 144928]","[314.93, 320.47]",g9DU2sgW6Gw_310-8400000000001
54,14400,TYwcjTDZTpg,92.305,completely,mix,114508,completely,dissolve,mix,mix,463022.0,89.16,add,add,463024.0,94.66,"['mix', 'hit', 'mix', 'add', 'mix', 'combine', 'set', 'set']","['mix', 'hit', 'mix', 'add', 'mix', 'mix', 'set', 'set']","[463020, 463021, 463022, 463024, 463025, 463026, 463027, 463028]","[85.59, 88.8, 89.16, 94.66, 97.31, 99.25, 99.56, 102.26]",TYwcjTDZTpg_92-305
