,Unnamed: 0.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,11328,iHto-rgy07o_000009_000019,iHto-rgy07o,9.0,19.0,train,roll,back,A toddler in a living room throws a ball at a man sitting on a couch and the man rolls the ball back towards the toddler.,roll,backwards
1,10428,5Z-zeWi621Y_000016_000026,5Z-zeWi621Y,16.0,26.0,train,stand,outside,An artist works on a project of his while standing outside,stand,outdoor
2,41467,M6DKMa8PJPE_000116_000126,M6DKMa8PJPE,116.0,126.0,train,build,outside,A woman picks up snow and continues to build a snowman outside.,make,outdoor
3,27266,7i_6w1zAfKg_000000_000010,7i_6w1zAfKg,0.0,10.0,train,fold,properly,A boy uses a folding table to properly fold a shirt.,fold,properly
4,43157,XGRWk-vdGow_000018_000028,XGRWk-vdGow,18.0,28.0,train,speak,loudly,A little boy sweeps a hardwood floor using a mop while speaking loudly.,talk,loudly
5,4974,87oq9SfLLug_000026_000036,87oq9SfLLug,26.0,36.0,train,use,carefully,A person carefully uses a large flame to blow a small ball of glass.,use,carefully
6,38167,Bk0i4M38dLk_000257_000267,Bk0i4M38dLk,257.0,267.0,train,lay,neatly,Pavement spacers are demonstrated by someone laying the paving stones neatly.,put,neatly
7,73239,8HS5Ac_hqPg_000093_000103,8HS5Ac_hqPg,93.0,103.0,train,dance,outdoors,Some adults and a couple of little girls are dancing at night outdoors.,dance,outdoor
8,12728,Xo4v2mNEl1I_000006_000016,Xo4v2mNEl1I,6.0,16.0,train,cut,carefully,A worker is carefully cutting up some meat and then shows it to the camera.,cut,carefully
9,42486,K1eeYctPEWg_000000_000010,K1eeYctPEWg,0.0,10.0,train,lay,sideways,A woman is laying sideways on a bed getting her leg oiled and massaged by another woman.,put,horizontally
10,10681,R1qA-jgFQ5c_000233_000243,R1qA-jgFQ5c,233.0,243.0,train,use,properly,"On a pond, a man holds out his fishing pole and narrates how to properly use it.",use,properly
11,14826,OAHWyWJmvJI_000030_000040,OAHWyWJmvJI,30.0,40.0,train,climb,inside,A young person practices climbing inside high up on some equipment.,climb,indoor
12,67162,G-FZvraClGM_000043_000053,G-FZvraClGM,43.0,53.0,train,ski,slowly,A woman is skiing slowly and carefully in a forested area covered in snow,ski,slowly
13,37988,SJT3X4weECE_000056_000066,SJT3X4weECE,56.0,66.0,train,stack,carefully,"A tractor slowly dumps a pile of bricks, and workers stack them carefully.",stack,carefully
14,31710,3pUYZna5TF0_000021_000031,3pUYZna5TF0,21.0,31.0,train,skate,backwards,In a ice skating rink a man teaches how to skate backwards,skate,backwards
15,74061,b164ovilA1Y_000000_000010,b164ovilA1Y,0.0,10.0,train,hold,slightly,During football practice. one male is slightly holding a huge blue cushion while another tackles it to the ground.,hold,partially
16,53974,c0BhekJzl58_000012_000022,c0BhekJzl58,12.0,22.0,train,play,outside,A line of people playing instruments outside are doing so in their backyard at night.,play,outdoor
17,2947,5Kh9aIt-nDw_000002_000012,5Kh9aIt-nDw,2.0,12.0,train,move,outdoors,CLose up of tongs moving hot coal bricketts over a firepit or grill outdoors.,move,outdoor
18,56680,49xqcWMtLRw_000005_000015,49xqcWMtLRw,5.0,15.0,train,play,outside,Outside a couple of kids are playing with a wheelbarrow and one of the boys attempts to make the wheel barrow go off of a ramp.,play,outdoor
19,85356,LCVg1a7VuIk_001246_001256,LCVg1a7VuIk,1246.0,1256.0,train,weave,carefully,A person is carefully weaving part of a traditional beige basket on top of a table.,weave,carefully
20,39238,oD32kA4GrGI_000200_000210,oD32kA4GrGI,200.0,210.0,train,open,successfully,A person successfully opens a lock using a lock pick.,open,properly
21,52536,HQto_szg3nI_000000_000010,HQto_szg3nI,0.0,10.0,train,play,outdoors,A woman playing a wooden pipe outdoors in the cold.,play,outdoor
22,53870,6aB7leh0ho4_000285_000295,6aB7leh0ho4,285.0,295.0,train,run,up,A group of kids are participating in tennis practice but running up and hitting the ball.,run,upwards
23,23642,TKJun5w--z0_000021_000031,TKJun5w--z0,21.0,31.0,train,eat,fast,Several men are eating as many hotdogs as fast as they can.,eat,quickly
24,63370,DdX-W7RCVBY_000018_000028,DdX-W7RCVBY,18.0,28.0,train,eat,sloppily,Someone is filming a small baby sloppily eating some food.,eat,carelessly
25,85775,sPsB1sndl5I_000021_000031,sPsB1sndl5I,21.0,31.0,train,lean,forward,"A young boy leans forward and blows at the camera, then moves away and returns",tilt,forwards
26,59363,lc18XzQAitc_000000_000010,lc18XzQAitc,0.0,10.0,train,ride,outside,A man rides a mechanical bull outside and stays on.,ride,outdoor
27,46763,7YCuLvjgVoQ_000010_000020,7YCuLvjgVoQ,10.0,20.0,train,walk,forward,A white and brown dog slowly walks forward and gets petted.,walk,forwards
