,id,youtube_id,weak_timestamp,clustered_adverb,clustered_action,task_num,adverb,action,before_action,before_clustered_action,before_id,before_timestamp,after_action,after_clustered_action,after_id,after_timestamp,in_window_actions,in_window_clustered_actions,in_window_ids,in_window_timestamps,clip_id
0,1589,Tlf8UubvSY0,114.565,slowly,press,42901,slowly,push,use,use,391517.0,104.09,place,put,391519.0,120.45,['place'],['put'],[391519],[120.45],Tlf8UubvSY0_114-565
1,13582,geR29Vd9j1c,338.2,completely,set,76412,completely,set,pop,put,410981.0,329.86,slice,cut,410983.0,354.83,['pop'],['put'],[410981],[329.86],geR29Vd9j1c_338-2
2,16318,SEHi7HGMpXY,255.515,completely,cover,41950,entirely,cover,bake,cook,68554.0,249.64,bake,cook,68556.0,259.63,"['bake', 'bake', 'bake']","['cook', 'cook', 'cook']","[68554, 68556, 68557]","[249.64, 259.63, 261.98]",SEHi7HGMpXY_255-515
3,1285,GZlqWhzIVBc,125.215,completely,spread,16323,completely,flatten,press,press,467497.0,122.7,cook,cook,467499.0,127.79,"['press', 'cook', 'drain']","['press', 'cook', 'drain']","[467497, 467499, 467500]","[122.7, 127.79, 131.18]",GZlqWhzIVBc_125-215
4,11492,PmOPr45yA5g,87.065,finely,cut,105209,finely,chop,add,add,197383.0,86.87,stir,mix,197384.0,92.1,"['add', 'stir', 'toss', 'mix']","['add', 'mix', 'turn', 'mix']","[197383, 197384, 197385, 197386]","[86.87, 92.1, 94.17, 96.4]",PmOPr45yA5g_87-065
5,4190,aTN18FzA3qs,114.46,quickly,cook,93376,fast,cook,burn,burn,332756.0,114.11,sit,sit,332757.0,119.07,"['burn', 'sit']","['burn', 'sit']","[332756, 332757]","[114.11, 119.07]",aTN18FzA3qs_114-46
6,2402,7eCdUkbeQQk,27.815,completely,mix,16136,fully,dissolve,bring,carry,50424.0,18.01,add,add,50427.0,28.95,"['bring', 'add']","['carry', 'add']","[50424, 50427]","[18.01, 28.95]",7eCdUkbeQQk_27-815
7,2655,IiqVi5eu59I,227.3,quickly,cool,81790,quickly,cool,freeze,cool,337663.0,225.34,add,add,337665.0,232.25,"['cover', 'freeze', 'add', 'whip']","['cover', 'cool', 'add', 'mix']","[337662, 337663, 337665, 337667]","[217.53, 225.34, 232.25, 234.93]",IiqVi5eu59I_227-3
8,8999,Gkgz9ocNHAo,233.745,finely,cut,103832,fine,cut,cook,cook,541740.0,207.77,cook,cook,541744.0,239.2,"['cook', 'chop']","['cook', 'cut']","[541744, 541745]","[239.2, 242.53]",Gkgz9ocNHAo_233-745
9,4313,SFZutEIqqAU,442.68,partially,turn,40596,half,turn,rip,separate,238985.0,433.2,install,install,238988.0,480.63,['rip'],['separate'],[238985],[433.2],SFZutEIqqAU_442-68
10,2848,FVBX_YGbhwU,124.32,completely,mix,26618,thoroughly,mix,set,set,556836.0,121.3,dry,dry,556838.0,128.47,"['combine', 'set', 'dry']","['mix', 'set', 'dry']","[556835, 556836, 556838]","[116.12, 121.3, 128.47]",FVBX_YGbhwU_124-32
